Computer:Path
PC-Prensa-01:OU=Equipos-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal
PC-Prensa-02:OU=Equipos-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal
PC-Prensa-03:OU=Equipos-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal
PC-Prensa-04:OU=Equipos-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal
PC-Prensa-05:OU=Equipos-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-01:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-02:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-03:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-04:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-05:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-06:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-07:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-08:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-09:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Enfermeria-10:OU=Equipos-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal
PC-Informatica-01:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-02:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-03:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-04:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-05:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-06:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-07:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-08:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-09:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Informatica-10:OU=Equipos-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal
PC-Formacion-01:OU=Equipos-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal
PC-Formacion-02:OU=Equipos-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal
PC-Formacion-03:OU=Equipos-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal
PC-Formacion-04:OU=Equipos-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal
PC-Formacion-05:OU=Equipos-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal
